"","id_cliente","nome_cliente","segmento","cidade","estado","pais","mercado","regiao"
"36","AH-30","Aaron Hawkins","Corporativo","Kamina","Katanga","Democratic Republic of the Congo","Africa","Africa"
"37","DM-13015","Darrin Martin","Consumidor","New York City","New York","United States","US","East"
"38","GT-14635","Grant Thornton","Corporativo","Burlington","North Carolina","United States","US","South"
"39","PO-18865","Patrick O'Donnell","Consumidor","Stockton-on-Tees","England","United Kingdom","EU","North"
"40","DL-12865","Dan Lawera","Consumidor","Brisbane","Queensland","Australia","APAC","Oceania"
"41","JB-16000","Joy Bell-","Consumidor","Mataram","Nusa Tenggara Barat","Indonesia","APAC","Southeast Asia"
"42","BF-11005","Barry Franz","Outros","Gorakhpur","Haryana","India","APAC","Central Asia"
"43","VG-21805","Vivek Grady","Corporativo","Thiruvananthapuram","Kerala","India","APAC","Central Asia"
"44","GT-14710","Greg Tran","Consumidor","Huddersfield","England","United Kingdom","EU","North"
"45","ZC-21910","Zuschuss Carroll","Consumidor","Berlin","Berlin","Germany","EU","Central"
"46","SC-20095","Sanjit Chand","Consumidor","Minneapolis","Minnesota","United States","US","Central"
"47","EB-13840","Ellis Ballard","Corporativo","Montreuil","Ile-de-France","France","EU","Central"
"48","AP-10915","Arthur Prichep","Consumidor","Shouguang","Shandong","China","APAC","North Asia"
"49","SW-20275","Scott Williamson","Consumidor","Jamshedpur","Jharkhand","India","APAC","Central Asia"
"50","JH-15820","John Huston","Consumidor","Paysandú","Paysandú","Uruguay","LATAM","South"
"51","LC-16885","Lena Creighton","Consumidor","New York City","New York","United States","US","East"
"52","TG-11640","Trudy Glocke","Consumidor","Behshahr","Mazandaran","Iran","EMEA","EMEA"
"53","HR-14830","Harold Ryan","Corporativo","Huntington Beach","California","United States","US","West"
"54","DG-3300","Deirdre Greer","Corporativo","Maputo","Cidade De Maputo","Mozambique","Africa","Africa"
"55","SG-20470","Sheri Gordon","Consumidor","Bhopal","Madhya Pradesh","India","APAC","Central Asia"
"56","FH-14365","Fred Hopkins","Corporativo","Seattle","Washington","United States","US","West"
"57","GP-14740","Guy Phonely","Corporativo","Delhi","Delhi","India","APAC","Central Asia"
"58","MW-18220","Mitch Webber","Consumidor","Geraldton","Western Australia","Australia","APAC","Oceania"
"59","PO-18850","Patrick O'Brill","Consumidor","Tallahassee","Florida","United States","US","South"
"60","CS-12460","Chuck Sachs","Consumidor","Dhaka","Dhaka","Bangladesh","APAC","Central Asia"
"61","KD-16495","Keith Dawkins","Corporativo","New York City","New York","United States","US","East"
"62","MS-17980","Michael Stewart","Corporativo","Munster","Lower Saxony","Germany","EU","Central"
"63","KC-16675","Kimberly Carter","Corporativo","Celle","Lower Saxony","Germany","EU","Central"
"64","DB-13405","Denny Blanton","Consumidor","Wuxi","Jiangsu","China","APAC","North Asia"
"65","JD-15895","Jonathan Doherty","Corporativo","Richmond","Virginia","United States","US","South"
"66","DK-13090","Dave Kipp","Consumidor","Seville","Andalusía","Spain","EU","South"
"67","CS-11845","Cari Sayre","Corporativo","Raipur","Uttarakhand","India","APAC","Central Asia"
"68","EM-14200","Evan Minnotte","Outros","Gómez Palacio","Durango","Mexico","LATAM","North"
"69","DW-3480","Dianna Wilson","Outros","Kharkiv","Kharkiv","Ukraine","EMEA","EMEA"
"70","AS-10225","Alan Schoenberger","Corporativo","Jinan","Shandong","China","APAC","North Asia"
"71","ST-20530","Shui Tom","Consumidor","Chinandega","Chinandega","Nicaragua","LATAM","Central"
"72","BW-1065","Barry Weirich","Consumidor","Kananga","Kasai-Occidental","Democratic Republic of the Congo","Africa","Africa"
"73","LA-16780","Laura Armstrong","Corporativo","Palembang","Sumatera Selatan","Indonesia","APAC","Southeast Asia"
"74","AB-10150","Aimee Bixby","Consumidor","London","England","United Kingdom","EU","North"
"75","CM-12385","Christopher Martinez","Consumidor","Atlanta","Georgia","United States","US","South"
"76","BE-11410","Bobby Elias","Consumidor","Duisburg","North Rhine-Westphalia","Germany","EU","Central"
"77","SZ-20035","Sam Zeldin","Outros","Nanchong","Sichuan","China","APAC","North Asia"
"78","RM-19375","Raymond Messe","Consumidor","Naihati","West Bengal","India","APAC","Central Asia"
"79","HG-14845","Harry Greene","Consumidor","Lille","Nord-Pas-de-Calais","France","EU","Central"
"80","DP-3105","Dave Poirier","Corporativo","Meknes","Meknès-Tafilalet","Morocco","Africa","Africa"
"81","AR-10540","Andy Reiter","Consumidor","Jackson","Michigan","United States","US","Central"
"82","TP-21415","Tom Prescott","Consumidor","Philadelphia","Pennsylvania","United States","US","East"
"83","AM-10705","Anne McFarland","Consumidor","Bandung","Jawa Barat","Indonesia","APAC","Southeast Asia"
"84","AB-255","Alejandro Ballentine","Outros","Casablanca","Grand Casablanca","Morocco","Africa","Africa"
"85","RP-19270","Rachel Payne","Corporativo","Sydney","New South Wales","Australia","APAC","Oceania"
"86","BK-11260","Berenike Kampe","Consumidor","Tongi","Dhaka","Bangladesh","APAC","Central Asia"
"87","JM-15250","Janet Martin","Consumidor","Suzhou","Anhui","China","APAC","North Asia"
"88","LW-16990","Lindsay Williams","Corporativo","Henderson","Nevada","United States","US","West"
"89","NZ-18565","Nick Zandusky","Outros","Paris","Ile-de-France","France","EU","Central"
"90","SV-10815","Stuart Van","Corporativo","Montréal","Quebec","Canada","Canada","Canada"
"91","SC-20695","Steve Chapman","Corporativo","Manila","National Capital","Philippines","APAC","Southeast Asia"
"92","NC-18625","Noah Childs","Corporativo","Newcastle","New South Wales","Australia","APAC","Oceania"
"93","NF-18385","Natalie Fritzler","Consumidor","Graz","Styria","Austria","EU","Central"
"94","PM-18940","Paul MacIntyre","Consumidor","Boulogne-Billancourt","Ile-de-France","France","EU","Central"
"95","MZ-17335","Maria Zettner","Outros","Malakoff","Ile-de-France","France","EU","Central"
"96","HM-4980","Henry MacAllister","Consumidor","Kinshasa","Kinshasa","Democratic Republic of the Congo","Africa","Africa"
"97","RW-19540","Rick Wilson","Corporativo","Perth","Western Australia","Australia","APAC","Oceania"
"98","LH-17155","Logan Haushalter","Consumidor","Le Bouscat","Aquitaine","France","EU","Central"
"99","KM-16660","Khloe Miller","Consumidor","Augsburg","Bavaria","Germany","EU","Central"
"100","AB-10060","Adam Bellavance","Outros","Seattle","Washington","United States","US","West"
"101","DB-13060","Dave Brooks","Consumidor","Gold Coast","Queensland","Australia","APAC","Oceania"
"102","VM-21685","Valerie Mitchum","Outros","Bergen op Zoom","North Brabant","Netherlands","EU","Central"
"103","DM-13525","Don Miller","Corporativo","Hanover","Lower Saxony","Germany","EU","Central"
"104","NM-18520","Neoma Murray","Consumidor","Vigo","Galicia","Spain","EU","South"
"105","RO-19780","Rose O'Brian","Consumidor","Gaoyou","Jiangsu","China","APAC","North Asia"
"106","SB-20185","Sarah Brown","Consumidor","Los Angeles","California","United States","US","West"
"107","EM-14065","Erin Mull","Consumidor","Bremen","Bremen","Germany","EU","Central"
"108","RS-19765","Roland Schwarz","Corporativo","Los Angeles","California","United States","US","West"
"109","ON-18715","Odella Nelson","Corporativo","Muret","Midi-Pyrénées","France","EU","Central"
"110","VS-21820","Vivek Sundaresam","Consumidor","Zigong","Sichuan","China","APAC","North Asia"
"111","CM-12115","Chad McGuire","Consumidor","Adelaide","South Australia","Australia","APAC","Oceania"
"112","TB-21400","Tom Boeckenhauer","Consumidor","New York City","New York","United States","US","East"
"113","AB-10105","Adrian Barton","Consumidor","Detroit","Michigan","United States","US","Central"
"114","DW-13540","Don Weiss","Consumidor","Kuantan","Pahang","Malaysia","APAC","Southeast Asia"
"115","PS-19045","Penelope Sewall","Outros","Harrisonburg","Virginia","United States","US","South"
"116","CC-12370","Christopher Conant","Consumidor","Philadelphia","Pennsylvania","United States","US","East"
"117","TC-21295","Toby Carlisle","Consumidor","Everett","Massachusetts","United States","US","East"
"118","GM-14440","Gary McGarr","Consumidor","Quito","Pichincha","Ecuador","LATAM","South"
"119","SV-20815","Stuart Van","Corporativo","Vadodara","Gujarat","India","APAC","Central Asia"
"120","MM-17920","Michael Moore","Consumidor","Sanya","Hainan","China","APAC","North Asia"
"121","JK-16120","Julie Kriz","Outros","Palembang","Sumatera Selatan","Indonesia","APAC","Southeast Asia"
"122","DJ-13510","Don Jones","Corporativo","San Diego","California","United States","US","West"
"123","AT-10435","Alyssa Tate","Outros","Guaymas","Sonora","Mexico","LATAM","North"
"124","AB-10015","Aaron Bergman","Consumidor","Wuhan","Hubei","China","APAC","North Asia"
"125","RP-19390","Resi Pölking","Consumidor","Madison","Wisconsin","United States","US","Central"
"126","MJ-17740","Max Jones","Consumidor","San Diego","California","United States","US","West"
"127","PV-18985","Paul Van Hugh","Outros","Salto","São Paulo","Brazil","LATAM","South"
"128","SB-20290","Sean Braxton","Corporativo","Treviso","Veneto","Italy","EU","South"
"129","SM-10005","Sally Matthias","Consumidor","Hargeysa","Woqooyi Galbeed","Somalia","Africa","Africa"
"130","KH-16330","Katharine Harms","Corporativo","Yogyakarta","Yogyakarta","Indonesia","APAC","Southeast Asia"
"131","MP-18175","Mike Pelletier","Outros","Perth","Western Australia","Australia","APAC","Oceania"
"132","LH-17020","Lisa Hazard","Consumidor","Anshan","Liaoning","China","APAC","North Asia"
"133","ND-18370","Natalie DeCherney","Consumidor","New York City","New York","United States","US","East"
"134","CR-12625","Corey Roper","Outros","Brisbane","Queensland","Australia","APAC","Oceania"
"135","GM-14680","Greg Matthias","Consumidor","Amsterdam","North Holland","Netherlands","EU","Central"
"136","RA-19945","Ryan Akin","Consumidor","Le Petit-Quevilly","Upper Normandy","France","EU","Central"
"137","BW-11110","Bart Watters","Corporativo","Detroit","Michigan","United States","US","Central"
"138","RF-19735","Roland Fjeld","Consumidor","Perth","Western Australia","Australia","APAC","Oceania"
"139","AG-10675","Anna Gayman","Consumidor","Houston","Texas","United States","US","Central"
"140","DM-12955","Dario Medina","Corporativo","Mixco","Guatemala","Guatemala","LATAM","Central"
"141","KD-16270","Karen Daniels","Consumidor","Yonkers","New York","United States","US","East"
"142","BE-11335","Bill Eplett","Outros","Morelia","Michoacán","Mexico","LATAM","North"
"143","SO-20335","Sean O'Donnell","Consumidor","Changchun","Jilin","China","APAC","North Asia"
"144","DK-12835","Damala Kotsonis","Corporativo","Madrid","Madrid","Spain","EU","South"
"145","LC-7050","Liz Carlisle","Consumidor","Jeddah","Makkah","Saudi Arabia","EMEA","EMEA"
"146","CG-12520","Claire Gute","Consumidor","Adelaide","South Australia","Australia","APAC","Oceania"
"147","TB-21280","Toby Braunhardt","Consumidor","Norman","Oklahoma","United States","US","Central"
"148","HG-15025","Hunter Glantz","Consumidor","Medan","Sumatera Utara","Indonesia","APAC","Southeast Asia"
"149","AD-10180","Alan Dominguez","Outros","Jakarta","Jakarta","Indonesia","APAC","Southeast Asia"
"150","BP-11155","Becky Pak","Consumidor","London","England","United Kingdom","EU","North"
"151","AA-10480","Andrew Allen","Consumidor","Bangkok","Bangkok","Thailand","APAC","Southeast Asia"
"152","RL-19615","Rob Lucas","Consumidor","Newcastle","New South Wales","Australia","APAC","Oceania"
"153","CS-12505","Cindy Stewart","Consumidor","Lancaster","Ohio","United States","US","East"
"154","SW-20245","Scot Wooten","Consumidor","Surakarta","Jawa Tengah","Indonesia","APAC","Southeast Asia"
"155","TA-21385","Tom Ashbrook","Outros","New York City","New York","United States","US","East"
"156","YC-21895","Yoseph Carroll","Corporativo","London","England","United Kingdom","EU","North"
"157","JM-15580","Jill Matthias","Consumidor","Tulancingo","Hidalgo","Mexico","LATAM","North"
"158","MZ-7335","Maria Zettner","Outros","Brest","Brest","Belarus","EMEA","EMEA"
"159","JF-15295","Jason Fortune-","Consumidor","Valencia","Valenciana","Spain","EU","South"
"160","JL-15835","John Lee","Consumidor","Charlotte","North Carolina","United States","US","South"
"161","DJ-3510","Don Jones","Corporativo","Zhytomyr","Zhytomyr","Ukraine","EMEA","EMEA"
"162","MF-18250","Monica Federle","Corporativo","Argenteuil","Ile-de-France","France","EU","Central"
"163","JE-15610","Jim Epp","Corporativo","Atlanta","Georgia","United States","US","South"
"164","CP-12340","Christine Phan","Corporativo","Aurangabad","Bihar","India","APAC","Central Asia"
"165","EH-14125","Eugene Hildebrand","Outros","Plaisir","Ile-de-France","France","EU","Central"
"166","NC-18340","Nat Carroll","Consumidor","Melbourne","Victoria","Australia","APAC","Oceania"
"167","JS-16030","Joy Smith","Consumidor","Medan","Sumatera Utara","Indonesia","APAC","Southeast Asia"
"168","AM-10360","Alice McCarthy","Corporativo","Harrogate","England","United Kingdom","EU","North"
"169","JF-15190","Jamie Frazer","Consumidor","Phnom Penh","Phnom Penh","Cambodia","APAC","Southeast Asia"
"170","JG-15160","James Galang","Consumidor","Stockton-on-Tees","England","United Kingdom","EU","North"
"171","DP-13390","Dennis Pardue","Outros","North Las Vegas","Nevada","United States","US","West"
"172","AG-10330","Alex Grayson","Consumidor","Jambi","Jambi","Indonesia","APAC","Southeast Asia"
"173","GK-14620","Grace Kelly","Corporativo","Los Angeles","California","United States","US","West"
"174","NF-18475","Neil Französisch","Outros","Moers","North Rhine-Westphalia","Germany","EU","Central"
"175","DR-12940","Daniel Raglin","Outros","Townsville","Queensland","Australia","APAC","Oceania"
"176","NB-18655","Nona Balk","Corporativo","Hamburg","Hamburg","Germany","EU","Central"
"177","NM-18445","Nathan Mautz","Outros","Shenzhen","Guangdong","China","APAC","North Asia"
"178","NP-18670","Nora Paige","Consumidor","Lakewood","New Jersey","United States","US","East"
"179","SC-20380","Shahid Collister","Consumidor","Marikina","National Capital","Philippines","APAC","Southeast Asia"
"180","PA-9060","Pete Armstrong","Outros","Johannesburg","Gauteng","South Africa","Africa","Africa"
"181","RB-19570","Rob Beeghly","Consumidor","Barakaldo","Basque Country","Spain","EU","South"
"182","SR-20740","Steven Roelle","Outros","New York City","New York","United States","US","East"
"183","RH-19510","Rick Huthwaite","Outros","Providence","Rhode Island","United States","US","East"
"184","LH-16750","Larry Hughes","Consumidor","Santo Domingo","Santo Domingo","Dominican Republic","LATAM","Caribbean"
"185","KB-16585","Ken Black","Corporativo","Qingdao","Shandong","China","APAC","North Asia"
"186","EM-13810","Eleni McCrary","Corporativo","San Francisco","California","United States","US","West"
"187","MZ-7515","Mary Zewe","Corporativo","Shiraz","Fars","Iran","EMEA","EMEA"
"188","DM-13345","Denise Monton","Corporativo","Bokaro","Jharkhand","India","APAC","Central Asia"
"189","CA-11965","Carol Adams","Corporativo","Fuji","Shizuoka","Japan","APAC","North Asia"
"190","SC-20305","Sean Christensen","Consumidor","Benidorm","Valenciana","Spain","EU","South"
"191","MH-18115","Mick Hernandez","Outros","Kozhikode","Kerala","India","APAC","Central Asia"
"192","KS-16300","Karen Seio","Corporativo","Adelaide","South Australia","Australia","APAC","Oceania"
"193","BG-11740","Bruce Geld","Consumidor","Kuala Lumpur","Kuala Lumpur","Malaysia","APAC","Southeast Asia"
"194","CR-2625","Corey Roper","Outros","Astrakhan'","Astrakhan'","Russia","EMEA","EMEA"
"195","CB-12415","Christy Brittain","Consumidor","Columbus","Ohio","United States","US","East"
"196","AP-10720","Anne Pryor","Outros","Jabalpur","Madhya Pradesh","India","APAC","Central Asia"
"197","CR-12820","Cyra Reiten","Outros","Patna","Bihar","India","APAC","Central Asia"
"198","BF-11080","Bart Folk","Consumidor","Adelaide","South Australia","Australia","APAC","Oceania"
"199","JM-15265","Janet Molinari","Corporativo","Marikina","National Capital","Philippines","APAC","Southeast Asia"
"200","TW-21025","Tamara Willingham","Outros","La Baule-Escoublac","Pays de la Loire","France","EU","Central"
"201","RB-19330","Randy Bradley","Consumidor","Dijon","Burgundy","France","EU","Central"
"202","JA-15970","Joseph Airdo","Consumidor","Philadelphia","Pennsylvania","United States","US","East"
"203","AB-60","Adam Bellavance","Outros","Cape Town","Western Cape","South Africa","Africa","Africa"
"204","JR-5670","Jim Radford","Consumidor","Cairo","Al Qahirah","Egypt","Africa","Africa"
"205","MD-17350","Maribeth Dona","Consumidor","Medellín","Antioquia","Colombia","LATAM","South"
"206","PK-19075","Pete Kriz","Consumidor","New York City","New York","United States","US","East"
"207","TP-21130","Theone Pippenger","Consumidor","Detroit","Michigan","United States","US","Central"
"208","JK-15640","Jim Kriz","Outros","Seattle","Washington","United States","US","West"
"209","CD-11920","Carlos Daly","Consumidor","New York City","New York","United States","US","East"
"210","JL-5835","John Lee","Consumidor","Baku","Baki","Azerbaijan","EMEA","EMEA"
"211","EP-13915","Emily Phan","Consumidor","Jakarta","Jakarta","Indonesia","APAC","Southeast Asia"
"212","MS-17770","Maxwell Schwartz","Consumidor","Burnley","England","United Kingdom","EU","North"
"213","CM-12655","Corinna Mitchell","Outros","Laval","Pays de la Loire","France","EU","Central"
"214","JC-6105","Julie Creighton","Corporativo","Vilnius","Vilnius","Lithuania","EMEA","EMEA"
"215","GB-14530","George Bell","Corporativo","Brisbane","Queensland","Australia","APAC","Oceania"
"216","JH-16180","Justin Hirsh","Consumidor","Buenos Aires","Buenos Aires","Argentina","LATAM","South"
"217","MT-8070","Michelle Tran","Outros","Girga","Suhaj","Egypt","Africa","Africa"
"218","CV-2805","Cynthia Voltz","Corporativo","Maseru","Maseru","Lesotho","Africa","Africa"
"219","NH-18610","Nicole Hansen","Corporativo","Wellington","Wellington","New Zealand","APAC","Oceania"
"220","HJ-14875","Heather Jas","Outros","Luoyang","Henan","China","APAC","North Asia"
"221","JL-15175","James Lanier","Outros","Feira de Santana","Bahia","Brazil","LATAM","South"
"222","MY-18295","Muhammed Yedwab","Corporativo","Matagalpa","Matagalpa","Nicaragua","LATAM","Central"
"223","MW-18235","Mitch Willingham","Corporativo","Virginia Beach","Virginia","United States","US","South"
"224","KC-16540","Kelly Collister","Consumidor","Managua","Managua","Nicaragua","LATAM","Central"
"225","HA-14920","Helen Andreada","Consumidor","Wuhai","Inner Mongolia","China","APAC","North Asia"
"226","MT-17815","Meg Tillman","Consumidor","Nantes","Pays de la Loire","France","EU","Central"
"227","FW-14395","Fred Wasserman","Corporativo","Strasbourg","Alsace","France","EU","Central"
"228","BH-11710","Brosina Hoffman","Consumidor","Berlin","Berlin","Germany","EU","Central"
"229","DK-12895","Dana Kaydos","Consumidor","Surabaya","Jawa Timur","Indonesia","APAC","Southeast Asia"
"230","SC-20845","Sung Chung","Consumidor","Vienna","Vienna","Austria","EU","Central"
"231","CY-12745","Craig Yedwab","Corporativo","Mexico City","Distrito Federal","Mexico","LATAM","North"
"232","HL-15040","Hunter Lopez","Consumidor","Hobart","Tasmania","Australia","APAC","Oceania"
"233","CT-11995","Carol Triggs","Consumidor","Hirakata","Osaka","Japan","APAC","North Asia"
"234","GR-4560","Georgia Rosenberg","Corporativo","Maseru","Maseru","Lesotho","Africa","Africa"
"235","TT-21070","Ted Trevino","Consumidor","Agra","Uttar Pradesh","India","APAC","Central Asia"
"236","PO-19195","Phillina Ober","Outros","Granollers","Catalonia","Spain","EU","South"
"237","ED-13885","Emily Ducich","Outros","Ho Chi Minh City","Ho Chí Minh City","Vietnam","APAC","Southeast Asia"
"238","TM-21490","Tony Molinari","Consumidor","Camagüey","Camagüey","Cuba","LATAM","Caribbean"
"239","AW-10840","Anthony Witt","Consumidor","Amsterdam","North Holland","Netherlands","EU","Central"
"240","AT-10735","Annie Thurman","Consumidor","Morristown","New Jersey","United States","US","East"
"241","SG-10605","Speros Goranitis","Consumidor","Piatra-Neamt","Neamt","Romania","EMEA","EMEA"
"242","BM-11785","Bryan Mills","Consumidor","Milpa Alta","Distrito Federal","Mexico","LATAM","North"
"243","DK-13375","Dennis Kane","Consumidor","León","Guanajuato","Mexico","LATAM","North"
"244","PF-19225","Phillip Flathmann","Consumidor","Los Angeles","California","United States","US","West"
"245","TG-21310","Toby Gnade","Consumidor","Los Angeles","California","United States","US","West"
"246","SF-10200","Sarah Foster","Consumidor","Izmir","Izmir","Turkey","EMEA","EMEA"
"247","JW-5220","Jane Waco","Corporativo","Dakar","Dakar","Senegal","Africa","Africa"
"248","CC-12100","Chad Cunningham","Outros","Coyoacán","Distrito Federal","Mexico","LATAM","North"
"249","RD-19930","Russell D'Ascenzo","Consumidor","Manukau City","Auckland","New Zealand","APAC","Oceania"
"250","BP-1230","Benjamin Patterson","Consumidor","Yaounde","Centre","Cameroon","Africa","Africa"
"251","CS-12175","Charles Sheldon","Corporativo","Bangkok","Bangkok","Thailand","APAC","Southeast Asia"
"252","JD-16060","Julia Dunbar","Consumidor","Santander","Cantabria","Spain","EU","South"
"253","GH-14665","Greg Hansen","Consumidor","Cangzhou","Hebei","China","APAC","North Asia"
"254","CM-11935","Carlos Meador","Consumidor","Shanghai","Shanghai","China","APAC","North Asia"
"255","RB-9465","Rick Bensley","Outros","Rybinsk","Yaroslavl'","Russia","EMEA","EMEA"
"256","RB-19795","Ross Baird","Outros","Ibiúna","São Paulo","Brazil","LATAM","South"
"257","DL-13495","Dionis Lloyd","Corporativo","Philadelphia","Pennsylvania","United States","US","East"
"258","TS-21205","Thomas Seio","Corporativo","Canberra","Australian Capital Territory","Australia","APAC","Oceania"
"259","MV-8190","Mike Vittorini","Consumidor","Port Elizabeth","Eastern Cape","South Africa","Africa","Africa"
"260","BD-11560","Brendan Dodson","Outros","Cambridge","England","United Kingdom","EU","North"
"261","PS-18760","Pamela Stobb","Consumidor","Bandung","Jawa Barat","Indonesia","APAC","Southeast Asia"
"262","FM-14215","Filia McAdams","Corporativo","Mixco","Guatemala","Guatemala","LATAM","Central"
"263","CA-12775","Cynthia Arntzen","Consumidor","Kota","Chhattisgarh","India","APAC","Central Asia"
"264","CD-12790","Cynthia Delaney","Outros","Munster","Lower Saxony","Germany","EU","Central"
"265","NL-18310","Nancy Lomonaco","Outros","Christchurch","Canterbury","New Zealand","APAC","Oceania"
"266","TB-21055","Ted Butterfield","Consumidor","Vincennes","Ile-de-France","France","EU","Central"
"267","EH-4125","Eugene Hildebrand","Outros","Gyula","Bekes","Hungary","EMEA","EMEA"
"268","KB-16600","Ken Brennan","Corporativo","Lucknow","Uttar Pradesh","India","APAC","Central Asia"
"269","KW-16435","Katrina Willman","Consumidor","Florence","Kentucky","United States","US","South"
"270","MG-17695","Maureen Gnade","Consumidor","Turin","Piedmont","Italy","EU","South"
"271","HM-14860","Harry Marie","Corporativo","Springfield","Missouri","United States","US","Central"
"272","BP-11290","Beth Paige","Consumidor","Singapore","Singapore","Singapore","APAC","Southeast Asia"
"273","HZ-4950","Henia Zydlo","Consumidor","Benguela","Benguela","Angola","Africa","Africa"
"274","TC-20980","Tamara Chand","Corporativo","Lafayette","Indiana","United States","US","Central"
"275","EM-13825","Elizabeth Moffitt","Corporativo","Himeji","Hyogo","Japan","APAC","North Asia"
"276","BS-11800","Bryan Spruell","Outros","Kendari","Sulawesi Tenggara","Indonesia","APAC","Southeast Asia"
"277","DV-13465","Dianna Vittorini","Consumidor","Mejicanos","San Salvador","El Salvador","LATAM","Central"
"278","MB-17305","Maria Bertelson","Consumidor","Sydney","New South Wales","Australia","APAC","Oceania"
"279","PC-19000","Pauline Chand","Outros","Barcelona","Catalonia","Spain","EU","South"
"280","CA-12310","Christine Abelman","Corporativo","Menton","Provence-Alpes-Côte d'Azur","France","EU","Central"
"281","KC-16255","Karen Carlisle","Corporativo","Huntsville","Alabama","United States","US","South"
"282","DB-3660","Duane Benoit","Consumidor","Buzau","Buzau","Romania","EMEA","EMEA"
"283","SC-20260","Scott Cohen","Corporativo","San Francisco","California","United States","US","West"
"284","BD-11500","Bradley Drucker","Consumidor","Columbus","Georgia","United States","US","South"
"285","BM-11140","Becky Martin","Consumidor","San Antonio","Texas","United States","US","Central"
"286","KB-16315","Karl Braun","Consumidor","Kuala Lumpur","Kuala Lumpur","Malaysia","APAC","Southeast Asia"
"287","JM-15865","John Murray","Consumidor","Jamestown","New York","United States","US","East"
"288","AF-10885","Art Foster","Consumidor","Bayeux","Lower Normandy","France","EU","Central"
"289","SJ-20500","Shirley Jackson","Consumidor","Lens","Nord-Pas-de-Calais","France","EU","Central"
"290","WB-21850","William Brown","Consumidor","Los Angeles","California","United States","US","West"
"291","CC-12610","Corey Catlett","Corporativo","Iserlohn","North Rhine-Westphalia","Germany","EU","Central"
"292","BE-11455","Brad Eason","Outros","Sydney","New South Wales","Australia","APAC","Oceania"
"293","TG-21640","Trudy Glocke","Consumidor","Ghent","East Flanders","Belgium","EU","Central"
"294","MS-17365","Maribeth Schnelling","Consumidor","Los Angeles","California","United States","US","West"
